ID,EMP_CODE,LAST_NAME,FIRST_NAME,MIDDLE_NAME,EMP_SALARY,EMP_DOB,EMP_GENDER,HIRE_DATE,Created_On,Modified_On
16,ID016,Vaughn,Garrett,Ethan,935.0,1987-03-04,1,2011-10-01,2024-09-05 15:23:53.177,
18,ID018,Montgomery,Tanek,Reese,981.0,1989-01-03,1,2006-09-24,2024-09-05 15:23:53.177,
19,ID019,Powers,Jarrod,Sheila,923.0,1976-10-24,2,2020-03-07,2024-09-05 15:23:53.177,
25,ID025,Sykes,Yvonne,Aspen,938.0,1976-08-03,1,1996-10-12,2024-09-05 15:23:53.180,
26,ID026,Duncan,Gregory,Laurel,983.0,1983-11-06,2,1996-08-19,2024-09-05 15:23:53.180,
38,ID038,Valenzuela,Hollee,Timon,951.0,1984-09-11,1,1997-08-05,2024-09-05 15:23:53.180,
45,ID045,Wiggins,Raven,Keane,970.0,1978-08-17,1,1992-10-25,2024-09-05 15:23:53.180,
74,ID074,Townsend,Jorden,August,981.0,1981-07-23,2,2000-08-29,2024-09-05 15:23:53.183,
77,ID077,Delgado,Kai,Judith,912.0,1987-12-27,2,2011-03-08,2024-09-05 15:23:53.183,
79,ID079,Klein,Jakeem,Beck,989.0,1980-07-14,1,1995-06-18,2024-09-05 15:23:53.183,
89,ID089,Houston,Shelby,Calista,980.0,1984-12-07,2,1989-04-15,2024-09-05 15:23:53.187,
96,ID096,Bowers,Kadeem,Sandra,989.0,1981-08-15,1,2006-12-26,2024-09-05 15:23:53.187,
