EMP_Key,EMP_CODE,EMP_NAME,EMP_SALARY,EMP_DOB,EMP_GENDER,HIRE_DATE,TOTAL_EXP,REFERENCE_TABLE,ETLUpdateTime,Created_On,Modified_On
1,E01,Brewer Alyssa Levi,1462.0,1989-05-13,,1994-07-01,30,EMP_DTS_SRC2,2024-09-05 15:23:56.893,2024-09-05 15:23:53.163,2024-12-20 23:15:00.447
2,E010,Cantrell Gemma Vivien,1439.0,1987-02-14,,1995-04-16,29,EMP_DTS_SRC2,2024-09-05 15:23:56.893,2024-09-05 15:23:53.163,2024-12-20 23:15:00.447
3,E011,Harding Ferdinand Winter,1066.0,1975-06-15,M,2005-10-30,19,EMP_DTS_SRC2,2024-09-05 15:23:56.893,2024-09-05 15:23:53.167,2024-12-20 23:15:00.447
4,E012,Odonnell Ashton Uta,1182.0,1981-01-02,M,2009-01-23,15,EMP_DTS_SRC2,2024-09-05 15:23:56.893,2024-09-05 15:23:53.167,2024-12-20 23:15:00.447
5,E013,Curry Lillian Mark,1430.0,1985-02-02,,2004-06-05,20,EMP_DTS_SRC2,2024-09-05 15:23:56.893,2024-09-05 15:23:53.167,2024-12-20 23:15:00.447
6,E014,Coleman Colorado Ferdinand,1500.0,1985-07-01,M,2016-04-01,8,EMP_DTS_SRC2,2024-09-05 15:23:56.893,2024-09-05 15:23:53.167,2024-12-20 23:15:00.447
7,E016,Price Abdul Mikayla,1488.0,1978-10-10,,2007-07-31,17,EMP_DTS_SRC2,2024-09-05 15:23:56.893,2024-09-05 15:23:53.167,2024-12-20 23:15:00.447
8,E017,Owens Tatyana Timon,1070.0,1979-02-09,M,1999-04-25,25,EMP_DTS_SRC2,2024-09-05 15:23:56.893,2024-09-05 15:23:53.167,2024-12-20 23:15:00.447
9,E019,Henry Zachary Blossom,1187.0,1990-04-29,,2018-05-31,6,EMP_DTS_SRC2,2024-09-05 15:23:56.893,2024-09-05 15:23:53.167,2024-12-20 23:15:00.447
10,E02,Jensen Emma Kasper,1331.0,1975-07-25,,2018-12-11,6,EMP_DTS_SRC2,2024-09-05 15:23:56.893,2024-09-05 15:23:53.163,2024-12-20 23:15:00.447
11,E020,Shepard Kendall Axel,1206.0,1980-11-21,M,2001-10-08,23,EMP_DTS_SRC2,2024-09-05 15:23:56.893,2024-09-05 15:23:53.167,2024-12-20 23:15:00.447
12,E022,Cote Michael Stephen,1006.0,1980-09-22,M,2016-03-22,8,EMP_DTS_SRC2,2024-09-05 15:23:56.893,2024-09-05 15:23:53.167,2024-12-20 23:15:00.447
13,E023,Guy Karleigh Kamal,1178.0,1989-10-13,,2004-02-15,20,EMP_DTS_SRC2,2024-09-05 15:23:56.893,2024-09-05 15:23:53.167,2024-12-20 23:15:00.447
14,E024,Donaldson Nerea Audrey,1353.0,1989-02-10,,2006-07-15,18,EMP_DTS_SRC2,2024-09-05 15:23:56.893,2024-09-05 15:23:53.167,2024-12-20 23:15:00.447
15,E025,Newman Gannon William,1302.0,1983-06-26,M,2010-04-29,14,EMP_DTS_SRC2,2024-09-05 15:23:56.893,2024-09-05 15:23:53.167,2024-12-20 23:15:00.447
16,E027,Madden Velma Olga,1221.0,1976-08-16,,1998-10-26,26,EMP_DTS_SRC2,2024-09-05 15:23:56.893,2024-09-05 15:23:53.167,2024-12-20 23:15:00.447
17,E028,Figueroa Rowan Christian,1050.0,1988-09-09,M,2002-07-24,22,EMP_DTS_SRC2,2024-09-05 15:23:56.893,2024-09-05 15:23:53.167,2024-12-20 23:15:00.447
18,E03,Mueller Judah Raven,1039.0,1975-04-23,,1989-07-17,35,EMP_DTS_SRC2,2024-09-05 15:23:56.893,2024-09-05 15:23:53.163,2024-12-20 23:15:00.447
19,E030,Heath Aiko Brenden,1266.0,1980-05-16,M,2009-08-15,15,EMP_DTS_SRC2,2024-09-05 15:23:56.893,2024-09-05 15:23:53.167,2024-12-20 23:15:00.447
20,E031,Vaughan Victoria Aristotle,1389.0,1988-05-10,,2002-10-02,22,EMP_DTS_SRC2,2024-09-05 15:23:56.893,2024-09-05 15:23:53.170,2024-12-20 23:15:00.447
21,E032,Harding Jessica Moses,1153.0,1978-01-22,,1999-06-08,25,EMP_DTS_SRC2,2024-09-05 15:23:56.893,2024-09-05 15:23:53.170,2024-12-20 23:15:00.447
22,E034,Thornton Skyler Perry,1146.0,1989-04-16,,2003-01-25,21,EMP_DTS_SRC2,2024-09-05 15:23:56.893,2024-09-05 15:23:53.170,2024-12-20 23:15:00.447
23,E035,George Lila Timothy,1467.0,1983-02-13,M,2011-08-11,13,EMP_DTS_SRC2,2024-09-05 15:23:56.893,2024-09-05 15:23:53.170,2024-12-20 23:15:00.447
