ID,EMP_CODE,LAST_NAME,FIRST_NAME,MIDDLE_NAME,EMP_SALARY,EMP_DOB,EMP_GENDER,HIRE_DATE,Created_On,Modified_On
1,EMP01,Anderson,Slade,Jakeem,923.0,1989-09-30,Female,2016-07-19,2024-09-05 15:23:53.090,
2,EMP02,Buckley,Clayton,Judah,1048.0,1981-02-04,Female,2019-11-23,2024-09-05 15:23:53.090,
3,EMP03,Thomas,Philip,Chandler,1026.0,1984-08-19,Female,1999-07-04,2024-09-05 15:23:53.090,
4,EMP04,Cleveland,Erin,Yoko,1195.0,1983-01-27,Female,2006-09-01,2024-09-05 15:23:53.090,
5,EMP05,Bender,Zenia,Daquan,939.0,1978-01-09,Male,1988-04-10,2024-09-05 15:23:53.090,
6,EMP06,Bennett,Matthew,Nora,1053.0,1983-06-12,Male,2003-11-22,2024-09-05 15:23:53.090,
7,EMP07,Cherry,Morgan,Hannah,1189.0,1976-07-24,Female,2017-09-30,2024-09-05 15:23:53.090,
8,EMP08,Bruce,Caesar,Gannon,1360.0,1979-11-16,Male,2020-08-19,2024-09-05 15:23:53.090,
9,EMP09,Barlow,Davis,Lunea,1380.0,1976-09-09,Female,2002-03-10,2024-09-05 15:23:53.090,
10,EMP010,Lang,Rahim,Brynne,989.0,1979-07-16,Female,2016-01-02,2024-09-05 15:23:53.090,
11,EMP011,Cline,Lareina,Doris,1473.0,1983-05-03,Female,2021-01-14,2024-09-05 15:23:53.090,
12,EMP012,Larson,Isaiah,Noah,1415.0,1976-07-12,Male,2019-09-11,2024-09-05 15:23:53.090,
13,EMP013,Wise,Randall,Simon,1232.0,1986-12-28,Male,1991-02-20,2024-09-05 15:23:53.090,
14,EMP014,Buckner,Caesar,Carl,959.0,1975-01-27,Male,2006-05-24,2024-09-05 15:23:53.090,
15,EMP015,Leon,Alexander,Noah,1150.0,1976-09-06,Female,2011-04-15,2024-09-05 15:23:53.090,
16,EMP016,Anthony,Tallulah,Clark,1092.0,1989-07-03,Female,1993-12-26,2024-09-05 15:23:53.090,
17,EMP017,Camacho,Hoyt,Maile,1412.0,1981-04-28,Female,1990-09-16,2024-09-05 15:23:53.090,
18,EMP018,Weaver,Regina,Kessie,965.0,1978-05-02,Female,2003-03-12,2024-09-05 15:23:53.090,
19,EMP019,Boyle,Silas,Kim,1327.0,1982-01-02,Male,2019-04-18,2024-09-05 15:23:53.090,
20,EMP020,Christian,Hayfa,Garth,1295.0,1977-11-21,Female,2002-09-10,2024-09-05 15:23:53.090,
21,EMP021,Munoz,Charlotte,Hedda,1363.0,1979-12-16,Female,1995-02-12,2024-09-05 15:23:53.090,
22,EMP022,Kim,Craig,Howard,1040.0,1987-06-20,Male,1992-07-09,2024-09-05 15:23:53.090,
23,EMP023,Higgins,Castor,Shana,1220.0,1988-06-29,Female,2011-05-28,2024-09-05 15:23:53.090,
24,EMP024,Bartlett,Charity,Lacey,1155.0,1979-03-19,Female,2008-12-29,2024-09-05 15:23:53.090,
25,EMP025,Dudley,Yasir,Brenden,1018.0,1980-10-30,Female,2003-10-01,2024-09-05 15:23:53.090,
26,EMP026,Duncan,Sydney,Ivy,1098.0,1977-08-18,Male,2018-04-03,2024-09-05 15:23:53.090,
27,EMP027,Wilkinson,Armand,Macon,1438.0,1987-12-07,Male,2004-02-19,2024-09-05 15:23:53.090,
28,EMP028,Ellison,Ivory,Georgia,1259.0,1981-07-29,Female,2012-02-23,2024-09-05 15:23:53.090,
